position	link_query
81:26:2	*hb
81:27:3	%3Cil%7EaA
81:27:4	*kr
81:27:5	Elm
81:28:2	$yA
81:28:5	qwm
81:29:2	$yA
81:29:3	%3Cil%7EaA
81:29:5	$yA
81:29:6	Alh
81:29:7	rbb
81:29:8	Elm
87:1:1	sbH
87:1:2	smw
87:1:3	rbb
87:1:4	Elw
87:2:1	%7Bl%7Ea*iY
87:2:2	xlq
87:2:3	swy
87:3:1	%7Bl%7Ea*iY
87:3:2	qdr
87:3:3	hdy
87:4:1	%7Bl%7Ea*iY
87:4:2	xrj
87:4:3	rEy
87:5:1	jEl
87:5:2	gvw
87:5:3	Hwy
87:6:1	qrA
87:6:3	nsy
87:7:1	%3Cil%7EaA
87:7:3	$yA
87:7:4	Alh
87:7:6	Elm
87:7:7	jhr
87:7:9	xfy
87:7:10	smw
87:8:1	ysr
87:8:2	ysr
87:9:1	*kr
87:9:3	nfE
87:9:4	*kr
87:10:1	*kr
87:10:3	x$y
87:11:1	jnb
87:11:2	$qw
87:12:1	%7Bl%7Ea*iY
87:12:2	Sly
87:12:3	nwr
87:12:4	kbr
87:13:3	mwt
87:13:6	Hyy
87:14:2	flH
87:14:4	zkw
87:15:1	*kr
87:15:2	smw
87:15:3	rbb
87:15:4	Slw
87:16:2	Avr
87:16:3	Hyy
87:16:4	dnw
87:17:1	Axr
87:17:2	xyr
87:17:3	bqy
87:18:4	SHf
87:18:5	Awl
87:19:1	SHf
87:19:2	%3CiboraAhiym
92:1:1	lyl
92:1:2	%3Ci*aA
92:1:3	g$w
92:2:1	nhr
92:2:2	%3Ci*aA
92:2:3	jlw
92:3:2	xlq
92:3:3	*kr
92:3:4	Anv
92:4:2	sEy
92:4:3	$tt
92:5:1	%3Eam%7EaA
92:5:3	ETw
92:5:4	wqy
92:6:1	Sdq
92:6:2	Hsn
92:7:1	ysr
92:7:2	ysr
92:8:1	%3Eam%7EaA
92:8:3	bxl
92:8:4	gny
92:9:1	k*b
92:9:2	Hsn
92:10:1	ysr
92:10:2	Esr
92:11:2	gny
92:11:4	mwl
92:11:5	%3Ci*aA
92:11:6	rdy
92:12:3	hdy
92:13:3	Axr
92:13:4	Awl
92:14:1	n*r
92:14:2	nwr
92:14:3	lZy
92:15:2	Sly
92:15:3	%3Cil%7EaA
92:15:4	$qw
92:16:1	%7Bl%7Ea*iY
92:16:2	k*b
92:16:3	wly
92:17:1	jnb
92:17:2	wqy
92:18:1	%7Bl%7Ea*iY
