surah:ayah	position	word	meaning	ayah_link
32:13	16	ajmaʿīna	together	 وَلَٰكِنْ حَقَّ الْقَوْلُ مِنِّي لَأَمْلَأَنَّ جَهَنَّمَ مِنَ الْجِنَّةِ وَالنَّاسِ أَجْمَعِينَ
37:134	4	ajmaʿīna	all	 إِذْ نَجَّيْنَاهُ وَأَهْلَهُ أَجْمَعِينَ
38:73	4	ajmaʿūna	together	 فَسَجَدَ الْمَلَائِكَةُ كُلُّهُمْ أَجْمَعُونَ
38:82	4	ajmaʿīna	all	 قَالَ فَبِعِزَّتِكَ لَأُغْوِيَنَّهُمْ أَجْمَعِينَ
38:85	7	ajmaʿīna	all	 لَأَمْلَأَنَّ جَهَنَّمَ مِنْكَ وَمِمَّنْ تَبِعَكَ مِنْهُمْ أَجْمَعِينَ
43:55	6	ajmaʿīna	all	 فَلَمَّا آسَفُونَا انْتَقَمْنَا مِنْهُمْ فَأَغْرَقْنَاهُمْ أَجْمَعِينَ
44:40	5	ajmaʿīna	all	 إِنَّ يَوْمَ الْفَصْلِ مِيقَاتُهُمْ أَجْمَعِينَ
3:155	7	l-jamʿāni	the two hosts 	 إِنَّ الَّذِينَ تَوَلَّوْا مِنْكُمْ يَوْمَ الْتَقَى الْجَمْعَانِ إِنَّمَا اسْتَزَلَّهُمُ الشَّيْطَانُ بِبَعْضِ مَا كَسَبُوا
3:166	5	l-jamʿāni	the two hosts	 وَمَا أَصَابَكُمْ يَوْمَ الْتَقَى الْجَمْعَانِ فَبِإِذْنِ اللَّهِ وَلِيَعْلَمَ الْمُؤْمِنِينَ
7:48	11	jamʿukum	your gathering	 قَالُوا مَا أَغْنَىٰ عَنْكُمْ جَمْعُكُمْ وَمَا كُنْتُمْ تَسْتَكْبِرُونَ
8:41	28	l-jamʿāni	the two forces	 وَمَا أَنْزَلْنَا عَلَىٰ عَبْدِنَا يَوْمَ الْفُرْقَانِ يَوْمَ الْتَقَى الْجَمْعَانِ
18:99	11	jamʿan	all together	 وَنُفِخَ فِي الصُّورِ فَجَمَعْنَاهُمْ جَمْعًا
26:61	3	l-jamʿāni	the two hosts	 فَلَمَّا تَرَاءَى الْجَمْعَانِ قَالَ أَصْحَابُ مُوسَىٰ إِنَّا لَمُدْرَكُونَ
