surah:ayah	position	word	meaning	ayah_link
33:66	8	aṭaʿnā	we (had) obeyed	 تُقَلَّبُ وُجُوهُهُمْ فِي النَّارِ يَقُولُونَ يَا لَيْتَنَا أَطَعْنَا اللَّهَ
33:66	10	wa-aṭaʿnā	and obeyed	 وَأَطَعْنَا الرَّسُولَا
33:67	4	aṭaʿnā	[we] obeyed	 وَقَالُوا رَبَّنَا إِنَّا أَطَعْنَا سَادَتَنَا وَكُبَرَاءَنَا فَأَضَلُّونَا السَّبِيلَا
33:71	8	yuṭiʿi	obeys	 وَمَنْ يُطِعِ اللَّهَ وَرَسُولَهُ فَقَدْ فَازَ فَوْزًا عَظِيمًا
43:54	3	fa-aṭāʿūhu	and they obeyed him	 فَاسْتَخَفَّ قَوْمَهُ فَأَطَاعُوهُ إِنَّهُمْ كَانُوا قَوْمًا فَاسِقِينَ
43:63	17	wa-aṭīʿūni	and obey me	 وَلِأُبَيِّنَ لَكُمْ بَعْضَ الَّذِي تَخْتَلِفُونَ فِيهِ فَاتَّقُوا اللَّهَ وَأَطِيعُونِ
47:26	9	sanuṭīʿukum	We will obey you	 ذَٰلِكَ بِأَنَّهُمْ قَالُوا لِلَّذِينَ كَرِهُوا مَا نَزَّلَ اللَّهُ سَنُطِيعُكُمْ فِي بَعْضِ الْأَمْرِ
47:33	4	aṭīʿū	Obey	 يَا أَيُّهَا الَّذِينَ آمَنُوا أَطِيعُوا اللَّهَ
47:33	6	wa-aṭīʿū	and obey	 وَأَطِيعُوا الرَّسُولَ وَلَا تُبْطِلُوا أَعْمَالَكُمْ
48:16	15	tuṭīʿū	you obey	 فَإِنْ تُطِيعُوا يُؤْتِكُمُ اللَّهُ أَجْرًا حَسَنًا
48:17	14	yuṭiʿi	obeys	 وَمَنْ يُطِعِ اللَّهَ وَرَسُولَهُ يُدْخِلْهُ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
49:7	7	yuṭīʿukum	he were to obey you	 لَوْ يُطِيعُكُمْ فِي كَثِيرٍ مِنَ الْأَمْرِ لَعَنِتُّمْ
49:14	16	tuṭīʿū	you obey	 وَإِنْ تُطِيعُوا اللَّهَ وَرَسُولَهُ لَا يَلِتْكُمْ مِنْ أَعْمَالِكُمْ شَيْئًا
58:13	18	wa-aṭīʿū	and obey	 فَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَأَطِيعُوا اللَّهَ وَرَسُولَهُ
59:11	18	nuṭīʿu	we will obey	 لَئِنْ أُخْرِجْتُمْ لَنَخْرُجَنَّ مَعَكُمْ وَلَا نُطِيعُ فِيكُمْ أَحَدًا أَبَدًا
64:12	1	wa-aṭīʿū	So obey	 وَأَطِيعُوا اللَّهَ
64:12	3	wa-aṭīʿū	and obey	 وَأَطِيعُوا الرَّسُولَ فَإِنْ تَوَلَّيْتُمْ فَإِنَّمَا عَلَىٰ رَسُولِنَا الْبَلَاغُ الْمُبِينُ
64:16	6	wa-aṭīʿū	and obey	 فَاتَّقُوا اللَّهَ مَا اسْتَطَعْتُمْ وَاسْمَعُوا وَأَطِيعُوا
68:8	2	tuṭiʿi	obey	 فَلَا تُطِعِ الْمُكَذِّبِينَ
68:10	2	tuṭiʿ	obey	 وَلَا تُطِعْ كُلَّ حَلَّافٍ مَهِينٍ
71:3	5	wa-aṭīʿūni	and obey me	 أَنِ اعْبُدُوا اللَّهَ وَاتَّقُوهُ وَأَطِيعُونِ
76:24	5	tuṭiʿ	obey	 فَاصْبِرْ لِحُكْمِ رَبِّكَ وَلَا تُطِعْ مِنْهُمْ آثِمًا أَوْ كَفُورًا
