surah_ayah	position	string	meaning	ayah_link
40:37	12	lifir'ʿawna	to Firaun	 وَكَذَٰلِكَ زُيِّنَ لِفِرْعَوْنَ سُوءُ عَمَلِهِ وَصُدَّ عَنِ السَّبِيلِ
40:37	20	fir'ʿawna	(of) Firaun	 وَمَا كَيْدُ فِرْعَوْنَ إِلَّا فِي تَبَابٍ
40:45	8	fir'ʿawna	(of) Firaun	 فَوَقَاهُ اللَّهُ سَيِّئَاتِ مَا مَكَرُوا وَحَاقَ بِآلِ فِرْعَوْنَ سُوءُ الْعَذَابِ
40:46	11	fir'ʿawna	(of) Firaun	 وَيَوْمَ تَقُومُ السَّاعَةُ أَدْخِلُوا آلَ فِرْعَوْنَ أَشَدَّ الْعَذَابِ
43:46	6	fir'ʿawna	Firaun	 وَلَقَدْ أَرْسَلْنَا مُوسَىٰ بِآيَاتِنَا إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ
43:51	2	fir'ʿawnu	Firaun	 وَنَادَىٰ فِرْعَوْنُ فِي قَوْمِهِ قَالَ يَا قَوْمِ أَلَيْسَ لِي مُلْكُ مِصْرَ
44:17	5	fir'ʿawna	(of) Firaun	 وَلَقَدْ فَتَنَّا قَبْلَهُمْ قَوْمَ فِرْعَوْنَ وَجَاءَهُمْ رَسُولٌ كَرِيمٌ
44:31	2	fir'ʿawna	Firaun	 مِنْ فِرْعَوْنَ
50:13	2	wafir'ʿawnu	and Firaun	 وَعَادٌ وَفِرْعَوْنُ
51:38	6	fir'ʿawna	Firaun	 وَفِي مُوسَىٰ إِذْ أَرْسَلْنَاهُ إِلَىٰ فِرْعَوْنَ بِسُلْطَانٍ مُبِينٍ
54:41	4	fir'ʿawna	(of) Firaun	 وَلَقَدْ جَاءَ آلَ فِرْعَوْنَ النُّذُرُ
66:11	7	fir'ʿawna	(of) Firaun	 وَضَرَبَ اللَّهُ مَثَلًا لِلَّذِينَ آمَنُوا امْرَأَتَ فِرْعَوْنَ
66:11	19	fir'ʿawna	Firaun	 وَنَجِّنِي مِنْ فِرْعَوْنَ وَعَمَلِهِ
69:9	2	fir'ʿawnu	Firaun	 وَجَاءَ فِرْعَوْنُ وَمَنْ قَبْلَهُ وَالْمُؤْتَفِكَاتُ بِالْخَاطِئَةِ
73:15	10	fir'ʿawna	Firaun	 إِنَّا أَرْسَلْنَا إِلَيْكُمْ رَسُولًا شَاهِدًا عَلَيْكُمْ كَمَا أَرْسَلْنَا إِلَىٰ فِرْعَوْنَ رَسُولًا
73:16	2	fir'ʿawnu	Firaun	 فَعَصَىٰ فِرْعَوْنُ الرَّسُولَ فَأَخَذْنَاهُ أَخْذًا وَبِيلًا
79:17	3	fir'ʿawna	Firaun	 اذْهَبْ إِلَىٰ فِرْعَوْنَ إِنَّهُ طَغَىٰ
85:18	1	fir'ʿawna	Firaun	 فِرْعَوْنَ وَثَمُودَ
89:10	1	wafir'ʿawna	And Firaun	 وَفِرْعَوْنَ ذِي الْأَوْتَادِ
